time;open;high;low;close;Volume
2026-04-17;70.04;72.18;69.9;71.26;6764900
2026-04-16;68.46;69.17;67.34;68.67;3514900
2026-04-15;67.0;68.33;66.1;67.97;4612300
2026-04-14;64.8;66.42;64.59;66.15;5908100
2026-04-13;61.09;64.31;60.635;64.22;5213700
2026-04-10;62.86;63.0;60.855;62.2;6041100
2026-04-09;62.67;62.93;59.65;62.69;5932400
2026-04-08;63.64;65.4;62.38;62.83;7033100
2026-04-07;60.37;60.93;59.43;59.97;3629400
2026-04-06;59.92;61.74;59.885;60.68;3251400
2026-04-02;58.0;60.02;56.75;59.78;6546700
2026-04-01;61.17;61.425;59.45;59.54;5493500
2026-03-31;58.225;60.57;57.8;60.18;7405300
2026-03-30;56.32;58.109;56.32;57.03;5246400
2026-03-27;58.33;58.525;55.86;55.98;5513700
2026-03-26;59.335;61.4;59.11;59.37;5610300
2026-03-25;61.21;62.13;59.3;60.01;4585500
2026-03-24;60.06;60.69;58.86;59.89;4684000
2026-03-23;60.96;62.21;60.15;61.17;6577000
2026-03-20;58.56;60.43;58.09;59.37;10018000
2026-03-19;57.24;59.387;57.12;58.99;6387300
2026-03-18;59.72;61.54;57.155;57.84;9834800
2026-03-17;60.37;61.355;59.725;59.79;5615600
2026-03-16;60.56;60.78;59.331;59.85;6082700
2026-03-13;60.65;61.45;59.67;59.79;7134200
2026-03-12;63.7;65.07;59.745;59.9;8599800
2026-03-11;65.95;67.25;63.41;64.63;9050400
2026-03-10;66.0;66.798;64.827;65.6;5908800
2026-03-09;65.085;66.085;63.264;65.54;7511200
2026-03-06;66.26;67.74;65.18;66.33;11047700
2026-03-05;64.72;67.51;64.6;67.38;11851400
2026-03-04;63.25;65.725;62.74;65.24;10400900
2026-03-03;63.23;64.77;61.325;62.9;9733400
2026-03-02;60.01;64.97;59.654;64.45;19625600
2026-02-27;63.09;66.12;61.2;63.7;40658100
2026-02-26;51.84;54.805;51.799;54.53;18400400
2026-02-25;51.655;52.06;50.6;51.94;7971000
2026-02-24;50.4;51.77;49.33;51.0;9921200
2026-02-23;52.05;52.52;50.01;50.75;13712900
2026-02-20;52.57;54.635;52.13;53.22;7318300
2026-02-19;53.03;53.42;52.2;52.89;7740900
2026-02-18;52.01;54.23;51.62;53.6;8434300
2026-02-17;50.216;51.34;49.58;50.81;9297000
2026-02-13;49.685;50.41;48.89;49.8;10012000
2026-02-12;53.06;53.4;48.21;49.09;17158100
2026-02-11;57.46;57.46;53.37;53.81;9787300
2026-02-10;57.16;58.53;56.98;57.3;6007200
2026-02-09;56.05;57.51;55.54;56.78;7350200
2026-02-06;55.05;56.42;54.81;55.97;8982900
2026-02-05;56.27;57.32;53.35;53.38;10267300
2026-02-04;56.38;57.87;55.071;57.43;8467000
2026-02-03;58.32;58.43;55.85;56.79;10360100
2026-02-02;59.4;60.785;59.08;60.4;8220800
2026-01-30;61.53;61.791;60.01;60.43;7234200
2026-01-29;64.35;64.73;61.62;62.21;6381100
2026-01-28;65.0;65.92;64.02;64.22;4927500
2026-01-27;66.37;66.5;63.86;64.59;4546800
2026-01-26;66.85;67.33;65.76;65.9;5137000
2026-01-23;65.03;67.79;65.0;66.83;6443900
2026-01-22;63.98;65.677;63.98;65.05;6016400
2026-01-21;62.895;65.4;62.85;64.0;8105400
2026-01-20;63.68;64.57;62.48;62.63;7509300
2026-01-16;65.18;66.05;64.4;65.95;5539300
2026-01-15;65.535;65.581;64.4;64.92;7183200
2026-01-14;66.715;66.79;64.44;65.61;7194800
2026-01-13;70.175;70.175;66.645;67.26;7599700
2026-01-12;70.01;71.22;68.93;70.26;5100100
2026-01-09;70.59;70.88;68.38;69.55;3996500
2026-01-08;71.05;71.56;69.572;70.16;5711900
2026-01-07;71.194;72.22;70.045;71.47;6117300
2026-01-06;68.57;70.01;68.39;70.0;5470900
2026-01-05;65.095;69.3;64.9;68.45;8109900
2026-01-02;65.72;65.72;62.52;65.15;6830100
2025-12-31;65.5;65.9;65.035;65.09;3487500
2025-12-30;65.83;65.99;65.45;65.54;2958800
2025-12-29;65.99;66.4;65.475;65.92;4216700
2025-12-26;65.875;66.47;65.34;66.27;3118400
2025-12-24;64.75;66.74;64.61;66.05;3017700
2025-12-23;64.39;65.18;63.92;64.94;5068200
2025-12-22;65.58;66.41;64.84;65.15;6322000
2025-12-19;64.59;65.77;64.56;65.33;10063100
2025-12-18;64.65;65.9;64.16;64.39;4593700
2025-12-17;64.68;65.74;63.64;63.77;4947500
2025-12-16;64.3;65.5;63.875;64.55;6213200
2025-12-15;65.63;66.4;63.95;64.02;6711900
2025-12-12;63.61;65.12;62.8;64.75;6642300
